region_code,tweets_positive,users_positive,tweets_negative,users_negative,percapita_positive,percapita_negative
Chile*,17423595,449353,8956633,359030,38.775,24.947
Valparaíso,1364984,37486,731449,30153,36.413,24.258
Aisén,48071,1545,26033,1184,31.114,21.987
Antofagasta,920019,20606,467268,16819,44.648,27.782
Araucanía,502073,13677,258981,10621,36.709,24.384
Atacama,809319,15718,395766,13040,51.49,30.35
Bíobío,1398378,35703,747604,28121,39.167,26.585
Coquimbo,654996,17756,333234,14227,36.889,23.423
O’Higgins,786937,17775,372569,14203,44.272,26.232
Magallanes,195470,4187,113530,3288,46.685,34.529
Maule,409057,10647,217160,8333,38.42,26.06
RM Santiago,5662961,162237,2878498,127206,34.905,22.629
Los Lagos,466756,12465,253022,9851,37.445,25.685
Tarapacá,927296,22041,443800,17468,42.071,25.406
Arica y P.,393463,10116,178529,7477,38.895,23.877
Los Ríos,195788,5758,99722,4438,34.003,22.47
