region_code,2015/1,2015/5,2015/9,2015/12
Aisén,8.528,11.143,11.848,9.012
Antofagasta,10.122,10.766,12.357,15.018
Araucanía,9.804,10.256,11.922,13.425
Arica y P.,9.745,10.355,11.89,12.643
Atacama,11.017,11.927,13.37,15.648
Bíobío,10.451,11.025,13.233,14.771
Chile*,9.72,10.237,12.035,13.615
Coquimbo,9.538,9.609,11.292,12.878
Los Lagos,9.332,11.02,13.723,14.115
Los Ríos,9.821,10.069,11.793,11.559
Magallanes,12.022,12.467,18.639,19.575
Maule,10.266,10.307,12.335,16.084
O’Higgins,9.876,10.15,12.384,14.035
RM Santiago,8.997,9.422,10.978,12.892
Tarapacá,9.643,10.353,12.36,13.873
Valparaíso,9.734,10.199,11.888,13.279
