region_code,2015/1,2015/5,2015/9,2015/12
Aisén,11.948,15.387,16.086,12.96
Antofagasta,15.264,17.301,18.67,22.047
Araucanía,14.546,15.209,17.132,18.581
Arica y P.,16.035,16.106,18.523,18.789
Atacama,17.91,19.487,21.456,24.384
Bíobío,15.052,16.347,18.457,20.378
Chile*,14.758,15.574,17.589,19.465
Coquimbo,14.429,15.206,16.949,18.272
Los Lagos,13.731,15.649,18.609,19.647
Los Ríos,13.915,15.567,16.126,16.357
Magallanes,17.086,17.24,23.782,24.34
Maule,14.821,14.854,17.91,21.441
O’Higgins,16.009,16.796,19.055,21.785
RM Santiago,13.604,14.121,16.056,18.233
Tarapacá,15.367,16.887,18.994,21.114
Valparaíso,14.331,15.096,16.62,18.421
